('Basic EPS', '-', '0.74', '-0.98', '-1.14', '-2.37')
         367450 function calls (353030 primitive calls) in 1.187 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      582    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
  566/537    0.000    0.000    0.001    0.000 typing.py:661(__hash__)
      547    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      544    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      544    0.005    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
  540/526    0.000    0.000    0.004    0.000 typing.py:245(inner)
      509    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      486    0.000    0.000    0.004    0.000 enum.py:284(__call__)
      476    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      472    0.003    0.000    0.004    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      414    0.012    0.000    0.012    0.000 {built-in method posix.stat}
      414    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      411    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      394    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      386    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      386    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
      366    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      365    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      364    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      363    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      349    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      325    0.001    0.000    0.005    0.000 css_parser.py:1115(selector_iter)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      311    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      310    0.004    0.000    0.112    0.000 {built-in method builtins.__build_class__}
      309    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      296    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      291    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      291    0.000    0.000    0.001    0.000 enum.py:376(__setattr__)
      289    0.000    0.000    0.000    0.000 typing.py:610(<genexpr>)
      273    0.000    0.000    0.001    0.000 css_parser.py:346(match)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      269    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      259    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      251    0.000    0.000    0.000    0.000 element.py:2023(_normalize_search_value)
      245    0.001    0.000    0.002    0.000 element.py:2156(_matches)
      236    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      234    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      234    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      234    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      228    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      226    0.001    0.000    0.001    0.000 __init__.py:617(_linkage_fixer)
      219    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
